name,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hp_to_1b,sprint_speed,team_id,team_name,division,league,avg_220,avg_240,avg_260,avg_280,avg_300,hr_10,hr_20,hr_30,hr_40,sb_05,sb_10,sb_15,sb_20
"Arrieta, Jake",453562,2021,35,23,30,3,3,0,0,0,16,2,53.3,6.7,0.13,0.13,0.231,0.361,0,0,0,77.4,27.3,0.0,,,135.0,SD,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Blackmon, Charlie",453568,2021,34,514,582,139,97,25,4,13,91,54,15.6,9.3,0.27,0.411,0.351,0.762,78,0,3,87.6,32.6,7.0,4.34,27.7,115.0,COL,NLW,NL,True,True,True,False,False,True,False,False,False,False,False,False,False
"Frazier, Todd",453943,2021,35,35,40,3,2,1,0,0,6,3,15.0,7.5,0.086,0.114,0.2,0.314,4,0,0,87.5,17.2,3.4,4.8,24.2,134.0,PIT,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Maldonado, Martin",455117,2021,34,373,426,64,41,10,1,12,127,47,29.8,11.0,0.172,0.3,0.272,0.572,36,0,0,88.0,30.8,5.7,5.06,23.5,117.0,HOU,ALW,AL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Chirinos, Robinson",455139,2021,37,97,112,22,11,5,1,5,36,9,32.1,8.0,0.227,0.454,0.324,0.778,15,0,0,89.4,29.0,8.1,,24.8,112.0,CHC,NLC,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Price, David",456034,2021,35,15,18,4,3,1,0,0,3,0,16.7,0.0,0.267,0.333,0.25,0.583,2,0,0,84.4,20.0,0.0,,,,,,,True,True,True,False,False,False,False,False,False,False,False,False,False
"Cueto, Johnny",456501,2021,35,29,37,2,2,0,0,0,9,3,24.3,8.1,0.069,0.069,0.156,0.225,0,0,1,75.9,8.0,0.0,,24.0,137.0,SF,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Cain, Lorenzo",456715,2021,35,257,286,66,45,13,0,8,48,26,16.8,9.1,0.257,0.401,0.329,0.73,36,2,13,88.4,29.0,4.3,4.37,28.7,158.0,MIL,NLC,NL,True,True,False,False,False,False,False,False,False,True,True,False,False
"Solano, Donovan",456781,2021,33,307,344,86,62,17,0,7,58,25,16.9,7.3,0.28,0.404,0.344,0.748,31,0,2,88.3,39.8,7.5,4.57,26.1,137.0,SF,NLW,NL,True,True,True,True,False,False,False,False,False,False,False,False,False
"McCutchen, Andrew",457705,2021,34,482,574,107,55,24,1,27,132,81,23.0,14.1,0.222,0.444,0.334,0.778,80,1,6,88.8,33.6,9.0,4.37,28.7,143.0,PHI,NLE,NL,True,False,False,False,False,True,True,False,False,True,False,False,False
"Upton, Justin",457708,2021,33,318,362,67,38,12,0,17,107,39,29.6,10.8,0.211,0.409,0.296,0.705,41,1,4,90.1,30.4,11.7,4.6,27.5,108.0,LAA,ALW,AL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Maybin, Cameron",457727,2021,34,28,33,1,1,0,0,0,12,3,36.4,9.1,0.036,0.036,0.182,0.218,0,0,1,88.3,12.5,0.0,,29.2,121.0,NYM,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Turner, Justin",457759,2021,36,533,612,148,99,22,0,27,98,61,16.0,10.0,0.278,0.471,0.361,0.832,87,0,3,90.9,36.5,7.9,4.78,25.5,119.0,LAD,NLW,NL,True,True,True,False,False,True,True,False,False,False,False,False,False
"Posey III, Buster",457763,2021,34,395,454,120,79,23,0,18,87,56,19.2,12.3,0.304,0.499,0.39,0.889,56,0,0,88.5,38.4,8.1,4.84,24.2,137.0,SF,NLW,NL,True,True,True,True,True,True,False,False,False,False,False,False,False
"Bruce, Jay",457803,2021,34,34,39,4,2,1,0,1,13,5,33.3,12.8,0.118,0.235,0.231,0.466,3,0,0,84.0,38.1,0.0,,23.2,147.0,NYY,ALE,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Happ, J.A.",457918,2021,38,14,15,0,0,0,0,0,5,1,33.3,6.7,0.0,0.0,0.067,0.067,0,0,0,84.5,33.3,0.0,,22.7,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Votto, Joey",458015,2021,37,448,533,119,59,23,1,36,127,77,23.8,14.4,0.266,0.563,0.375,0.938,99,0,1,92.9,44.3,17.2,4.76,25.2,113.0,CIN,NLC,NL,True,True,True,False,False,True,True,True,False,False,False,False,False
"Gardner, Brett",458731,2021,37,387,461,86,56,16,4,10,100,60,21.7,13.0,0.222,0.362,0.327,0.689,39,0,4,86.7,29.2,3.4,4.15,28.6,147.0,NYY,ALE,AL,True,False,False,False,False,True,False,False,False,False,False,False,False
"Joyce, Matt",459964,2021,36,55,69,5,2,1,0,2,16,12,23.2,17.4,0.091,0.218,0.261,0.479,7,0,0,85.7,25.0,10.0,,26.2,143.0,PHI,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
