"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_run","xba","xslg","xobp","avg_swing_speed","squared_up_contact","squared_up_swing","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","n_outs_above_average","n_bolts","sprint_speed"
"Moustakas, Mike","519058","2021","32","183","206","38","20","12","0","6","46","18",".208",".372",".282","0.654","22","21",".202",".329",".282",,,,"87","18.6",29.3,"8",5.7,,,"25.3"
"Rizzo, Anthony","519203","2021","31","496","576","123","75","23","3","22","87","52",".248",".440",".344","0.784","61","73",".261",".434",".356",,,,"90.1","14.8",31.4,"32",7.7,,,"25.2"
"Romine, Austin","519222","2021","32","60","62","13","10","2","0","1","22","2",".217",".300",".242","0.542","5","5",".159",".235",".186",,,,"87.3","9.7",23.7,"2",5.3,,,"24.8"
"Sogard, Eric","519299","2021","35","169","180","42","34","6","1","1","30","9",".249",".314",".283","0.597","12","16",".201",".272",".241",,,,"84","12.1",27.7,"1",0.7,,,"25.5"
"Souza Jr., Steven","519306","2021","32","33","36","5","2","1","1","1","14","2",".152",".333",".222","0.555","3","2",".123",".228",".196",,,,"87.3","13.4",36.8,"1",5.3,,,"27.2"
"Stanton, Giancarlo","519317","2021","31","510","579","139","85","19","0","35","157","63",".273",".516",".354","0.870","97","64",".262",".498",".346",,,,"95.1","10.3",32.6,"56",15.7,"-2",,"24.7"
"Vogt, Stephen","519390","2021","36","210","238","41","27","6","1","7","56","26",".195",".333",".283","0.616","25","24",".213",".353",".300",,,,"88.5","19.2",32.1,"8",5.1,,,"26.3"
"Galvis, Freddy","520471","2021","31","356","394","86","56","15","1","14","77","27",".242",".407",".302","0.709","40","53",".222",".350",".286",,,,"86.8","14.1",34.9,"14",4.9,,,"25.9"
"Perez, Salvador","521692","2021","31","620","665","169","97","24","0","48","170","28",".273",".544",".316","0.860","121","88",".273",".562",".318",,,,"93","15.9",34.1,"74",16.3,,,"26.1"
"Flores, Wilmer","527038","2021","29","389","436","102","67","16","1","18","56","41",".262",".447",".335","0.782","53","57",".238",".400",".314",,,,"88.6","18",32.7,"20",6,,,"24.6"
"LaMarre, Ryan","534606","2021","32","21","24","4","2","0","0","2","6","2",".190",".476",".292","0.768","4","3",".155",".296",".261",,,,"83.7","7.5",20,"1",6.7,,"1","28.8"
"Tovar, Wilfredo","541600","2021","29","11","12","2","2","0","0","0","4","1",".182",".182",".250","0.432","1","0",".215",".238",".280",,,,"69.7","-14.4",28.6,"0",0,,,"27.5"
"García, Avisaíl","541645","2021","30","461","515","121","74","18","0","29","121","38",".262",".490",".330","0.820","86","68",".278",".514",".346",,,,"90.4","9.3",35.9,"42",12.2,"-2","1","28.6"
"Pérez, Hernán","541650","2021","30","19","21","1","1","0","0","0","10","2",".053",".053",".143","0.196","0","1",".118",".171",".202",,,,"86.3","2.4",22.2,"0",0,,,"26.2"
"Inciarte, Ender","542255","2021","30","79","89","17","13","2","0","2","22","7",".215",".316",".276","0.592","10","11",".186",".254",".249",,,,"84.2","12.9",31.7,"2",3.3,"1",,"26.8"
"Ozuna, Marcell","542303","2021","30","188","208","40","27","6","0","7","46","19",".213",".356",".288","0.644","26","21",".265",".456",".336",,,,"89.7","14.5",35.2,"14",9.9,"0",,"26.4"
"Villar, Jonathan","542340","2021","30","454","505","113","75","18","2","18","132","46",".249",".416",".322","0.738","42","63",".235",".388",".310",,,,"88","7",29.9,"24",7.4,,,"27.3"
"Ortega, Rafael","542364","2021","30","296","330","86","59","14","2","11","70","30",".291",".463",".360","0.823","33","44",".252",".381",".325",,,,"88.3","18.3",36.8,"13",5.7,"-2",,"27.5"
"Santana, Danny","542454","2021","30","116","127","21","13","2","1","5","30","10",".181",".345",".252","0.597","14","15",".191",".365",".261",,,,"87.6","16.6",26.7,"6",7,"-1","1","27.9"
"Aguilar, Jesús","542583","2021","31","449","510","117","72","23","0","22","93","46",".261",".459",".329","0.788","93","49",".260",".453",".329",,,,"89.6","19",34.7,"31",8.5,,,"24.4"
"Anderson, Tyler","542881","2021","31","39","40","4","3","0","0","1","29","1",".103",".179",".125","0.304","1","1",".096",".134",".119",,,,"82.1","5.1",30,"1",10,,,
"Berti, Jon","542932","2021","31","233","271","49","34","10","1","4","61","32",".210",".313",".311","0.624","19","35",".233",".325",".334",,,,"87.1","1.9",29.1,"4",2.3,,"46","29.9"
"Brantly, Rob","542963","2021","31","20","21","3","2","1","0","0","4","0",".150",".200",".190","0.390","0","0",".177",".214",".216",,,,"82.6","17.6",12.5,"0",0,,,"25.4"
"Burns, Andy","542992","2021","30","11","15","3","2","1","0","0","1","3",".273",".364",".467","0.831","0","2",".308",".366",".492",,,,"86.1","7.5",50,"0",0,,,"28.3"
"Crawford, Brandon","543063","2021","34","483","549","144","87","30","3","24","105","56",".298",".522",".373","0.895","90","79",".259",".492",".341",,,,"88.8","14.7",35.8,"44",11.5,,,"25.8"
"Cron, C.J.","543068","2021","31","470","547","132","72","31","1","28","117","60",".281",".530",".375","0.905","92","70",".261",".481",".360",,,,"88.8","15.8",31.9,"41",11.5,,,"26.0"
"DeSclafani, Anthony","543101","2021","31","51","62","2","1","1","0","0","33","4",".039",".059",".109","0.168","1","2",".072",".104",".140",,,,"80.7","17",32,"1",4,,,"22.8"
"Dickerson, Alex","543105","2021","31","283","312","66","41","10","2","13","76","23",".233",".420",".304","0.724","38","37",".261",".446",".330",,,,"87.4","17",35.7,"21",10.1,"-4",,"26.7"
"Gomes, Yan","543228","2021","33","349","375","88","58","15","1","14","78","19",".252",".421",".301","0.722","52","49",".280",".469",".328",,,,"89.6","14.1",39.3,"24",8.8,,,"26.3"
"Gray, Sonny","543243","2021","31","41","43","6","6","0","0","0","10","1",".146",".146",".167","0.313","0","4",".140",".157",".161",,,,"77.7","-9",12.5,"0",0,,,"24.8"
"Grossman, Robbie","543257","2021","31","557","671","133","84","23","3","23","155","98",".239",".415",".357","0.772","67","88",".234",".399",".355",,,,"87.8","21.1",39.5,"31",7.6,"-4",,"27.7"
"Harrison, Josh","543281","2021","33","505","558","141","98","33","2","8","75","31",".279",".400",".341","0.741","60","58",".278",".420",".340",,,,"87.2","14.5",39.5,"19",4.4,"-4",,"26.8"
"Hendricks, Kyle","543294","2021","31","52","61","6","5","1","0","0","26","2",".115",".135",".148","0.283","1","3",".114",".132",".146",,,,"81.3","-0.6",15.2,"0",0,,,"22.2"
"Hicks, Aaron","543305","2021","31","108","126","21","14","3","0","4","30","14",".194",".333",".294","0.627","14","13",".240",".421",".338",,,,"89.3","19.1",36.3,"8",10,"0",,"26.7"
"Hicks, John","543308","2021","31","31","31","8","3","1","0","4","8","0",".258",".677",".258","0.935","7","6",".245",".630",".245",,,,"90.6","22.8",30.4,"5",21.7,,,"26.2"
"Higashioka, Kyle","543309","2021","31","193","211","35","15","10","0","10","59","17",".181",".389",".246","0.635","29","20",".233",".504",".297",,,,"90.5","21.7",37.8,"21",15.6,,,"25.4"
"Hosmer, Eric","543333","2021","31","509","565","137","97","28","0","12","99","48",".269",".395",".337","0.732","65","53",".268",".406",".337",,,,"90.5","3.3",26.6,"24",5.8,,,"26.0"
"Lavarnway, Ryan","543432","2021","33","28","30","7","4","3","0","0","10","1",".250",".357",".276","0.633","0","2",".237",".368",".263",,,,"85.7","18.9",42.1,"2",10.5,,,"24.7"
"McCann, James","543510","2021","31","375","412","87","64","12","1","10","115","32",".232",".349",".294","0.643","46","29",".219",".339",".286",,,,"87.3","9.3",32.3,"16",6.1,,,"26.7"
"Miller, Brad","543543","2021","31","331","377","75","43","9","3","20","112","45",".227",".453",".321","0.774","49","53",".247",".460",".339",,,,"92.4","12.9",31.1,"27",12.3,"-4",,"27.4"
"Nola, Austin","543592","2021","31","173","194","47","33","12","0","2","19","14",".272",".376",".340","0.716","29","15",".255",".348",".326",,,,"89.7","14.7",30.1,"1",0.6,,,"26.1"
"Rendon, Anthony","543685","2021","31","217","249","52","33","13","0","6","41","29",".240",".382",".329","0.711","34","24",".233",".369",".324",,,,"89.1","22.3",31.5,"10",5.6,,,"25.4"
"Semien, Marcus","543760","2021","30","652","724","173","87","39","2","45","146","66",".265",".538",".334","0.872","102","115",".249",".459",".320",,,,"89.7","20.3",35.2,"50",9.8,,"5","28.6"
